,budget,popularity,revenue,runtime,vote_count,release_date,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TVMovie,vote_average
107,0.42105264157894734,0.07212184339158892,0.15555331481798101,0.363905335443787,0.1649214759685864,0.015977325483818198,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.3
3684,0.012207333684210526,0.0051340346466317585,0.00394554003955892,0.3136094774556213,0.004726595223967423,0.44425662858930665,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.2
3080,1e-08,0.002551583437260632,1e-08,0.3994082940236686,0.0017452106980802792,0.1716607237988385,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.3
3368,0.018421062631578947,0.003000567441093377,0.0026156005014745976,0.28402367863905326,0.002181510872600349,0.1830302469332279,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.6
2122,0.05263158894736842,0.006926423304358982,0.031157345651384363,0.2544378798224852,0.02370565281559046,0.10889659369005097,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,3.2
4161,0.005131588947368421,0.004221346132799226,1e-08,0.26627219934911245,0.003563128091913903,0.02718325835728113,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.8
2692,1e-08,0.008984853503482522,1e-08,0.27218935911242603,0.009016880273414777,0.21097691650816588,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.5
1290,0.10526316789473683,0.01856371380132774,0.0358684649050811,0.47041421118343196,0.00981676392670157,0.024702139399896395,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,7.5
822,0.14473685210526316,0.022542993601048906,0.05556264732365742,0.31065089757396447,0.035267607440372314,0.1499032190956185,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.6
1162,0.10526316789473683,0.029983926799137233,0.06358023266008384,0.3816568147337278,0.06973532122745782,0.08863866637865692,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.2
